url,mainBranch,latestCommitSha,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount,searchResultCount
https://github.com/square/android-times-square,master,2bb367039b3cb93e6764e55835dc023df9f4fd77,967,328,183,7,6,24,10,108,1,0
https://github.com/mongodb/mongo-java-driver,master,244b5a26bfe1b6f9e15264d690fa944e7c6e2c54,924,487,1999,16,68,56,0,0,6,0
https://github.com/kevinsawicki/http-request,master,c11e2a8b335d43adb9e273412ec7a39c7e404e72,939,212,431,2,28,13,17,61,4,0
https://github.com/hibernate/hibernate-orm,master,9bd6917d0d92c3d350b74f23c03af5a4bb80890d,910,691,5640,11,79,126,0,0,37,0
https://github.com/BonzaiThePenguin/WikiSort,master,b83bde28fbf26198749eb0169d7f01052841b192,905,62,604,2,0,5,0,20,0,0
https://github.com/qii/weiciyuan,0.50,14fdfe9f6f7f3d927a66d802b709f53ba0ff629e,906,589,2997,5,0,3,30,203,0,0
https://github.com/orientechnologies/orientdb,master,8bfc83acadc833b40ec3d485216b39b786935b4c,897,179,7047,12,12,39,516,1709,5,0
https://github.com/reactor/reactor,master,83f0b805ca0a8e5fd9cd881e6370c173685ad228,875,147,1093,20,9,19,60,259,1,0
https://github.com/pcpratts/rootbeer1,master,c046801c73b9b2e48d4fe40739b0ce68c496d103,872,70,756,10,65,10,49,108,5,0
https://github.com/mttkay/droid-fu,master,469b1bf7a844cc09866bad95fc06321291c649e8,882,231,225,11,0,10,42,27,6,0
https://github.com/Netflix/curator,master,1e66d7ccd7ac601df3c814833f1b9e32b25331c6,896,204,1027,9,90,16,0,283,0,0
https://github.com/spring-projects/spring-mvc-showcase,master,c7b9162c061e135c081a28bf7fc209bb9a992cea,869,767,53,1,0,6,9,16,3,0
https://github.com/greenrobot/greenDAO,master,d13a1f1d0e8d244e8033a944599adda7bb157bef,1039,412,354,2,10,2,76,45,16,0
https://github.com/commonsguy/cw-android,master,568c11f2b9b556027dda05ad7b62c044f039b4e4,899,667,132,1,10,1,1,7,0,0
