url,mainBranch,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount
https://github.com/rich-staackmann/SportsStore,master,0,0,4,1,0,1,0,0,0
https://github.com/yipdw/capybara_persona,master,0,0,78,3,0,1,0,0,0
https://github.com/jonathanchrisp/capybara-cucumber-ruby-kickstarter,master,1,1,52,3,9,1,0,0,0
https://github.com/rupalik2014/be_the_buyer,master,0,0,2,1,0,0,0,0,0
https://github.com/rainux/capybara-rack_test_with_server,master,1,0,6,1,3,1,0,0,0
https://github.com/andyl/BAMRU-Public,master,1,1,485,2,9,1,0,0,0
https://github.com/tkadauke/tiny_mon,master,18,3,454,4,0,2,0,6,0
https://github.com/eanplatter/inv,master,0,0,25,1,0,2,0,0,0
https://github.com/jonathanchrisp/capy-cukes-rb-multi-app-kickstarter,master,0,0,16,2,6,1,0,0,0
https://github.com/jpka/todo,master,0,0,7,1,0,1,0,0,0
https://github.com/christiannelson/bee-tracker,master,0,0,1,1,0,1,0,0,0
https://github.com/Juraci/swamp,master,15,7,114,2,5,4,0,11,0
https://github.com/matiparv/ntd2013-workshop,master,0,1,13,1,0,1,0,0,0
https://github.com/zaithottakath/Expedia,master,0,0,13,1,0,1,0,0,0
https://github.com/Juraci/DSi-Automation-Project,master,0,0,16,1,0,2,0,0,0
https://github.com/grosser/mymarks,master,2,1,58,2,0,2,0,0,0
https://github.com/marcoVermeulen/cuke4duke-mail,master,1,0,3,1,0,0,0,0,0
https://github.com/rupalikalbhor/mc-QA-BTB,master,1,0,64,1,0,1,0,0,0
https://github.com/niclasnilsson/cucumber_multiple_browsers,master,0,0,9,1,0,1,0,0,0
https://github.com/fpanwaskar/cucumber-mail,master,2,0,8,1,0,1,0,0,0
https://github.com/javees/Practice,master,1,0,2,1,0,1,0,0,0
https://github.com/franck/courbedepoids,master,1,0,1,2,0,1,0,0,0
https://github.com/hamzarazzak/Cucumber-with-Selenium,master,1,1,10,1,0,2,0,0,0
https://github.com/seedpod/seedpod,master,4,2,814,2,0,4,33,228,0
https://github.com/bomatson/seinfeld_calendar,master,0,0,14,1,0,0,0,0,0
https://github.com/fortable1999/BDD-demo,master,0,0,5,1,0,1,0,0,0
https://github.com/Zhengquan/FileOperator,master,0,0,14,1,0,2,0,0,0
https://github.com/samwgoldman/twitter-clone,master,1,0,23,1,0,-1,0,0,0
https://github.com/gabrielnau/capybara-pdiff,master,1,0,1,1,0,1,0,0,0
https://github.com/Raybeam/ruby-selenium,master,0,0,8,1,0,1,0,0,0
https://github.com/cromulent-testing/capybara_different_browser_examples,master,3,0,20,1,0,0,0,0,0
https://github.com/openhood/capybara-faraday,master,3,0,6,1,1,2,0,0,0
https://github.com/sabrams/web-miner,master,1,0,24,1,0,1,0,0,0
https://github.com/fesplugas/rails-tartare,master,3,2,23,1,2,2,0,0,0
https://github.com/goldmann/confitura-2011-torquebox-demo,master,4,1,25,1,0,2,0,0,0
https://github.com/madelinehalpern/Investing-Channel,master,0,0,3,1,0,1,0,0,0
https://github.com/me/spider,master,3,0,2988,1,0,2,1,1,0
